Idade,Genero,Estado,UF,Regiao,Nivel de Ensino,Area de Formacao,Cargo,Nivel,Faixa Salarial,Tempo de Experiencia,Forma de Trabalho
46.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial
43.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% presencial
38.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial
37.0,Masculino,,,Norte,Graduação/Bacharelado,Outras,,,de R$ 30.001/mês a R$ 40.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
21.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Estatística/ Matemática / Matemática Computacional,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial
33.0,Masculino,São Paulo,SP,Sudeste,Não tenho graduação formal,,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial
32.0,Masculino,Paraná,PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,Modelo 100% remoto
30.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
32.0,Masculino,Paraná,PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
38.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,Acima de R$ 40.001/mês,Não tenho experiência na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
54.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial
33.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto
26.0,Masculino,Santa Catarina,SC,Sul,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo 100% remoto
27.0,Masculino,Mato Grosso,MT,Centro-Oeste,Pós-graduação,Estatística/ Matemática / Matemática Computacional,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto
21.0,Masculino,Santa Catarina,SC,Sul,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% presencial
21.0,Masculino,Rio Grande do Sul,RS,Sul,Não tenho graduação formal,,,,de R$ 2.001/mês a R$ 3000/mês,Não tenho experiência na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto
35.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,,,de R$ 16.001/mês a R$ 20.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial
49.0,Feminino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Ciências Sociais,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Modelo 100% remoto
