Idade,Genero,Estado,UF,Regiao,Nivel de Ensino,Area de Formacao,Cargo,Nivel,Faixa Salarial,Tempo de Experiencia,Forma de Trabalho
20.0,Masculino,Distrito Federal,DF,Centro-Oeste,Não tenho graduação formal,,Administrador de Banco de Dados,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% remoto
22.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Analista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial
32.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Química / Física,Cientista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 2 a 3 anos,Modelo 100% remoto
33.0,Masculino,Rio Grande do Sul,RS,Sul,Mestrado,Outras Engenharias,Outras Engenharias,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% presencial
32.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Analista de BI,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26.0,Feminino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
32.0,Masculino,Santa Catarina,SC,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
40.0,Masculino,Piauí,PI,Nordeste,Doutorado ou Phd,Marketing / Publicidade / Comunicação / Jornalismo,Outro,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
32.0,Masculino,Ceará,CE,Nordeste,Graduação/Bacharelado,Química / Física,Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo 100% presencial
30.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Outras Engenharias,Cientista de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 5 anos,Modelo 100% remoto
32.0,Feminino,Santa Catarina,SC,Sul,Graduação/Bacharelado,Outras Engenharias,Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo 100% presencial
35.0,Masculino,Goiás,GO,Centro-Oeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Analista de BI,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Modelo 100% remoto
27.0,Feminino,Ceará,CE,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
23.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto
29.0,Feminino,Rio Grande do Sul,RS,Sul,Graduação/Bacharelado,Outras Engenharias,Analista de Negócios,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial
27.0,Masculino,Santa Catarina,SC,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
43.0,Masculino,Ceará,CE,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Suporte Técnico,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% presencial
26.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto
,Masculino,São Paulo,SP,Sudeste,Mestrado,Marketing / Publicidade / Comunicação / Jornalismo,Analista de Negócios,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto
34.0,Feminino,Minas Gerais,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
40.0,Masculino,Ceará,CE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Administrador de Banco de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto
31.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial
24.0,Feminino,Ceará,CE,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de Dados,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
31.0,Masculino,Sergipe,SE,Nordeste,Doutorado ou Phd,Química / Física,Cientista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto
27.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Modelo 100% remoto
33.0,Masculino,São Paulo,SP,Sudeste,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Outro,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
24.0,Masculino,Rio Grande do Norte,RN,Nordeste,Graduação/Bacharelado,Outras Engenharias,Analista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% remoto
30.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Suporte Técnico,Pleno,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo 100% remoto
32.0,Masculino,Rio Grande do Sul,RS,Sul,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Suporte Técnico,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Modelo 100% remoto
23.0,Feminino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Outras Engenharias,Analista de BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto
23.0,Masculino,Rio de Janeiro,RJ,Sudeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Analista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
38.0,Masculino,São Paulo,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estatístico,Sênior,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Modelo 100% remoto
28.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Cientista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo 100% remoto
26.0,Masculino,Minas Gerais,MG,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
31.0,Masculino,Goiás,GO,Centro-Oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Modelo 100% presencial
31.0,Feminino,Minas Gerais,MG,Sudeste,Doutorado ou Phd,Outras Engenharias,Cientista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto
44.0,Masculino,São Paulo,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outro,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% presencial
43.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Professor,Pleno,de R$ 16.001/mês a R$ 20.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial
30.0,Masculino,Santa Catarina,SC,Sul,Graduação/Bacharelado,Outras Engenharias,Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,Modelo 100% remoto
26.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29.0,Feminino,Fora do Brasil,Exterior,Exterior,Graduação/Bacharelado,Outras Engenharias,Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
33.0,Masculino,Piauí,PI,Nordeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Estatístico,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo 100% presencial
29.0,Masculino,Fora do Brasil,Exterior,Exterior,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial
27.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 6 a 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
32.0,Masculino,Mato Grosso,MT,Centro-Oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% presencial
25.0,Masculino,,,Norte,Pós-graduação,Outras Engenharias,Analista de Dados,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto
29.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Administrador de Banco de Dados,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 6 a 10 anos,Modelo 100% presencial
35.0,Masculino,Rio de Janeiro,RJ,Sudeste,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
29.0,Masculino,Ceará,CE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
25.0,Masculino,Sergipe,SE,Nordeste,Mestrado,Economia/ Administração / Contabilidade / Finanças,Cientista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo 100% remoto
41.0,Masculino,Rio de Janeiro,RJ,Sudeste,Pós-graduação,Outras Engenharias,Analista de Negócios,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,Modelo 100% remoto
29.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Analista de Negócios,Pleno,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo 100% presencial
26.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Cientista de Dados,Sênior,de R$ 30.001/mês a R$ 40.000/mês,de 6 a 10 anos,Modelo 100% remoto
33.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Machine Learning,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
28.0,Masculino,Minas Gerais,MG,Sudeste,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional,Analista de Dados,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
28.0,Masculino,Paraná,PR,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,Modelo 100% remoto
24.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Outras Engenharias,Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
,Masculino,Distrito Federal,DF,Centro-Oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 6 a 10 anos,Modelo híbrido com dias fixos de trabalho presencial
34.0,Masculino,Paraná,PR,Sul,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo 100% remoto
26.0,Masculino,São Paulo,SP,Sudeste,Estudante de Graduação,Outras Engenharias,Analista de BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29.0,Masculino,Paraná,PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Modelo 100% presencial
33.0,Masculino,Fora do Brasil,Exterior,Exterior,Mestrado,Outras Engenharias,Cientista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
40.0,Masculino,Rio Grande do Sul,RS,Sul,Não tenho graduação formal,,Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
26.0,Masculino,Espírito Santo,ES,Sudeste,Graduação/Bacharelado,Outras Engenharias,Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto
31.0,Masculino,Rio de Janeiro,RJ,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Sistemas,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo 100% presencial
38.0,Masculino,Rio Grande do Norte,RN,Nordeste,Pós-graduação,Outras,,,de R$ 4.001/mês a R$ 6.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial
32.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Engenheiro de Dados,Pleno,de R$ 2.001/mês a R$ 3000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial
24.0,Masculino,Minas Gerais,MG,Sudeste,Estudante de Graduação,Outras Engenharias,Cientista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% remoto
26.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
27.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Outro,Júnior,Menos de R$ 1.000/mês,de 1 a 2 anos,Modelo 100% presencial
37.0,Masculino,Distrito Federal,DF,Centro-Oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Negócios,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 6 a 10 anos,Modelo 100% presencial
25.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto
39.0,Masculino,Paraná,PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto
25.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
22.0,Masculino,Santa Catarina,SC,Sul,Estudante de Graduação,Outras Engenharias,Analista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo 100% remoto
37.0,Feminino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% remoto
31.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,Analista de BI,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo 100% remoto
26.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Júnior,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Modelo 100% presencial
28.0,Masculino,Ceará,CE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor,Sênior,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,Modelo 100% remoto
26.0,Masculino,Fora do Brasil,Exterior,Exterior,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
24.0,Masculino,Santa Catarina,SC,Sul,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto
30.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo 100% remoto
35.0,Masculino,Ceará,CE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
44.0,Masculino,Ceará,CE,Nordeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista Administrativo,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial
30.0,Masculino,Ceará,CE,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Negócios,Sênior,de R$ 6.001/mês a R$ 8.000/mês,Mais de 10 anos,Modelo 100% remoto
30.0,Masculino,São Paulo,SP,Sudeste,Mestrado,Outras Engenharias,Analista de BI,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
31.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Analista Administrativo,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 6 a 10 anos,Modelo 100% presencial
27.0,Feminino,Pernambuco,PE,Nordeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo 100% remoto
40.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Modelo 100% remoto
31.0,Feminino,Minas Gerais,MG,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial
32.0,Masculino,Paraná,PR,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Machine Learning,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Modelo 100% remoto
29.0,Masculino,São Paulo,SP,Sudeste,Não tenho graduação formal,,Outro,Júnior,de R$ 2.001/mês a R$ 3000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
41.0,Masculino,Mato Grosso,MT,Centro-Oeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 1.001/mês a R$ 2.000/mês,de 4 a 5 anos,Modelo 100% presencial
43.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto
41.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Desenvolvedor,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Não tenho experiência na área de dados,Modelo 100% remoto
30.0,Masculino,Distrito Federal,DF,Centro-Oeste,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Analista de BI,Pleno,de R$ 2.001/mês a R$ 3000/mês,de 1 a 2 anos,Modelo 100% presencial
36.0,Masculino,Paraná,PR,Sul,Pós-graduação,Outras Engenharias,Outras Engenharias,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
27.0,Masculino,São Paulo,SP,Sudeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo 100% remoto
35.0,Masculino,Goiás,GO,Centro-Oeste,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial
27.0,Feminino,São Paulo,SP,Sudeste,Mestrado,Outras Engenharias,Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
46.0,Masculino,Santa Catarina,SC,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Analista de BI,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 6 a 10 anos,Modelo 100% presencial
29.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de BI,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial
24.0,Masculino,Rio de Janeiro,RJ,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto
31.0,Masculino,Minas Gerais,MG,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Analista de BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 2 a 3 anos,Modelo 100% presencial
27.0,Feminino,São Paulo,SP,Sudeste,Mestrado,Outras Engenharias,Engenheiro de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
41.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto
36.0,Masculino,Rio Grande do Sul,RS,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
36.0,Masculino,Maranhão,MA,Nordeste,Pós-graduação,Outras Engenharias,Outras Engenharias,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial
33.0,Masculino,Maranhão,MA,Nordeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Outro,Sênior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
24.0,Feminino,São Paulo,SP,Sudeste,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Analista de Inteligência de Mercado,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% remoto
27.0,Masculino,Goiás,GO,Centro-Oeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Engenheiro de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto
27.0,Masculino,São Paulo,SP,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Outro,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Modelo 100% presencial
28.0,Masculino,Mato Grosso,MT,Centro-Oeste,Mestrado,Estatística/ Matemática / Matemática Computacional,Estatístico,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 5 anos,Modelo 100% presencial
24.0,Masculino,Minas Gerais,MG,Sudeste,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional,Cientista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
24.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo 100% remoto
31.0,Masculino,Rio de Janeiro,RJ,Sudeste,Mestrado,Outras Engenharias,Arquiteto de Dados,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Modelo 100% remoto
